frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method
0,0.2651,1785356213.446,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
1,0.6630,1785356213.854,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
2,0.8363,1785356214.015,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
3,0.9622,1785356214.124,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
4,1.0698,1785356214.255,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
5,1.2073,1785356214.357,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
6,1.3029,1785356214.467,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
7,1.4148,1785356214.586,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
8,1.5326,1785356214.693,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
9,1.6505,1785356214.802,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
10,1.7630,1785356214.924,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
11,1.8847,1785356215.048,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
12,2.0026,1785356215.155,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
13,2.1136,1785356215.268,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
14,2.2263,1785356215.378,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
15,2.3351,1785356215.488,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
16,2.4443,1785356215.595,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
17,2.5518,1785356215.702,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
18,2.6602,1785356215.812,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
19,2.7703,1785356215.921,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
20,2.8784,1785356216.029,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
21,2.9857,1785356216.137,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
22,3.0940,1785356216.247,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
23,3.2037,1785356216.367,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
24,3.3125,1785356216.458,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
25,3.4025,1785356216.548,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
26,3.4908,1785356216.641,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
27,3.5843,1785356216.730,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
28,3.6729,1785356216.818,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
29,3.7610,1785356216.906,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
30,3.8493,1785356216.995,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
31,3.9375,1785356217.089,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none
