frame,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_m_s,r_deg_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method,calibration_debug_schema_version,frame_width_px,frame_height_px,ref_tag_size_m,visible_ref_ids,candidate_available,candidate_accepted,candidate_reject_reason,candidate_method,candidate_world_rms_m,candidate_pnp_baseline_error_m,pnp_baseline_tag_a,pnp_baseline_tag_b,pnp_baseline_measured_m,pnp_baseline_expected_m,accepted_calibration_samples,max_ref_world_error_m,max_ref_range_error_m,camera_K_00,camera_K_01,camera_K_02,camera_K_10,camera_K_11,camera_K_12,camera_K_20,camera_K_21,camera_K_22,camera_dist_0,camera_dist_1,camera_dist_2,camera_dist_3,camera_dist_4,ref_101_detected,ref_101_target_x_m,ref_101_target_y_m,ref_101_center_px_x,ref_101_center_px_y,ref_101_corner0_px_x,ref_101_corner0_px_y,ref_101_corner1_px_x,ref_101_corner1_px_y,ref_101_corner2_px_x,ref_101_corner2_px_y,ref_101_corner3_px_x,ref_101_corner3_px_y,ref_101_cam_x_m,ref_101_cam_y_m,ref_101_cam_z_m,ref_101_range_m,ref_101_map_x_m,ref_101_map_y_m,ref_102_detected,ref_102_target_x_m,ref_102_target_y_m,ref_102_center_px_x,ref_102_center_px_y,ref_102_corner0_px_x,ref_102_corner0_px_y,ref_102_corner1_px_x,ref_102_corner1_px_y,ref_102_corner2_px_x,ref_102_corner2_px_y,ref_102_corner3_px_x,ref_102_corner3_px_y,ref_102_cam_x_m,ref_102_cam_y_m,ref_102_cam_z_m,ref_102_range_m,ref_102_map_x_m,ref_102_map_y_m,candidate_H_00,candidate_H_01,candidate_H_02,candidate_H_10,candidate_H_11,candidate_H_12,candidate_H_20,candidate_H_21,candidate_H_22,active_map_H_00,active_map_H_01,active_map_H_02,active_map_H_10,active_map_H_11,active_map_H_12,active_map_H_20,active_map_H_21,active_map_H_22
0,0.2758,1785357755.251,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.369706,0.894853,101,102,3.365147,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,321.998,706.969,65.236,791.437,9.537,779.253,80.445,715.957,134.743,722.872,-2.845427,0.618456,1.799646,3.423108,,,1,4.260000,0.000000,1689.874,854.341,1842.848,934.335,1760.696,935.274,1705.811,840.641,1784.366,844.179,-1.231037,-0.538169,-0.917002,1.626644,,,0.0094396929,0.0093733750,-7.7342707582,0.0007801910,-0.0092636701,6.9044369642,0.0003932803,0.0027206536,1.0000000000,,,,,,,,,
1,0.8527,1785357755.753,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.373420,0.902165,101,102,3.357835,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.030,707.335,65.702,791.647,9.553,780.300,80.171,716.148,135.118,723.350,-2.836028,0.617957,1.793981,3.412227,,,1,4.260000,0.000000,1689.966,854.067,1843.534,934.415,1760.721,935.431,1705.164,840.193,1784.495,843.533,-1.236562,-0.540043,-0.921861,1.634185,,,0.0173228571,0.0171835440,-14.1909031687,0.0013638599,-0.0163015849,12.1548430201,0.0006541340,0.0060552491,1.0000000000,,,,,,,,,
2,1.0231,1785357755.919,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.378162,0.899207,101,102,3.360793,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.180,707.250,65.575,791.650,9.614,780.161,79.869,716.136,134.756,723.331,-2.841057,0.618819,1.796789,3.418040,,,1,4.260000,0.000000,1689.974,854.078,1843.647,934.563,1760.675,935.434,1705.538,840.212,1784.473,843.472,-1.230697,-0.537479,-0.916999,1.626157,,,0.0197282029,0.0194830787,-16.0914713296,0.0015363287,-0.0183467641,13.6787701808,0.0007759007,0.0069882355,1.0000000000,,,,,,,,,
3,1.1650,1785357756.033,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.385363,0.901857,101,102,3.358143,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.071,707.275,65.586,791.439,9.614,780.059,79.711,716.369,135.322,723.331,-2.847531,0.620245,1.801119,3.425955,,,1,4.260000,0.000000,1689.966,854.153,1843.397,934.412,1760.519,935.137,1706.359,840.845,1784.385,843.553,-1.196847,-0.522800,-0.890686,1.580849,,,0.0398995525,0.0398531870,-32.8837688727,0.0030183032,-0.0359519574,26.7995832842,0.0016789269,0.0150761872,1.0000000000,,,,,,,,,
4,1.2886,1785357756.137,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.378919,0.929043,101,102,3.330957,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.256,707.207,65.750,792.093,9.413,780.500,79.612,716.049,134.674,722.623,-2.815776,0.613197,1.780613,3.387505,,,1,4.260000,0.000000,1690.038,853.904,1843.960,934.542,1760.462,935.510,1705.448,840.058,1784.266,842.846,-1.220544,-0.532694,-0.909637,1.612740,,,0.0194352650,0.0190242065,-15.7230727738,0.0014954736,-0.0178851783,13.3344711374,0.0007635152,0.0068636947,1.0000000000,,,,,,,,,
5,1.3869,1785357756.251,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.369965,0.904850,101,102,3.355150,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.057,707.147,65.671,791.613,9.678,779.854,79.738,716.272,135.001,722.794,-2.839540,0.617961,1.795974,3.416194,,,1,4.260000,0.000000,1689.945,854.153,1843.513,934.569,1760.529,935.407,1705.919,840.393,1783.161,843.075,-1.215992,-0.531208,-0.905976,1.606739,,,0.0081289504,0.0080710946,-6.6618658832,0.0006669948,-0.0079461014,5.9251958337,0.0003645233,0.0021354252,1.0000000000,,,,,,,,,
6,1.5154,1785357756.392,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.381774,0.902419,101,102,3.357581,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.228,707.217,65.440,791.565,9.563,780.205,79.505,716.219,135.016,723.229,-2.840620,0.618628,1.796387,3.417431,,,1,4.260000,0.000000,1689.951,854.128,1843.692,934.541,1760.552,935.374,1705.734,840.374,1783.168,843.098,-1.220538,-0.533152,-0.909548,1.612836,,,0.0247465514,0.0245199644,-20.2428480990,0.0019024414,-0.0227148671,16.9343067147,0.0010022951,0.0089946808,1.0000000000,,,,,,,,,
7,1.6387,1785357756.509,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.385572,0.890589,101,102,3.369411,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.033,707.096,65.797,791.449,9.633,779.280,79.728,716.156,134.930,723.280,-2.859907,0.622162,1.808855,3.440655,,,1,4.260000,0.000000,1689.950,854.195,1843.366,934.337,1760.646,935.334,1706.349,841.048,1784.248,843.481,-1.190136,-0.519950,-0.885654,1.571991,,,0.0360111595,0.0356881970,-29.4567720095,0.0027409864,-0.0325738912,24.2732746616,0.0015065809,0.0135077830,1.0000000000,,,,,,,,,
8,1.7587,1785357756.607,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.380922,0.917042,101,102,3.342958,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.344,707.186,65.525,791.857,9.405,780.421,79.456,716.217,134.644,722.817,-2.827085,0.615643,1.787574,3.401007,,,1,4.260000,0.000000,1690.003,853.985,1843.862,934.609,1760.487,935.591,1705.411,840.163,1784.010,842.853,-1.220425,-0.532815,-0.909657,1.612701,,,0.0225590553,0.0222147202,-18.3479388659,0.0017272657,-0.0206518863,15.3973103917,0.0008968513,0.0081298852,1.0000000000,,,,,,,,,
9,1.8610,1785357756.745,2,,,,,,,,,,,,,,,,,0,acquiring:0/30,none,1,1920,1200,0.200000,101;102,1,0,world_rms>0.050;pnp_baseline_error>0.500,2-tag corner homography,0.383983,0.899090,101,102,3.360910,4.260000,0,0.050000,0.500000,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,1,0.000000,0.000000,322.187,707.185,65.554,791.593,9.718,779.972,79.651,716.133,134.749,723.250,-2.845043,0.619424,1.799235,3.422748,,,1,4.260000,0.000000,1689.990,854.068,1843.520,934.498,1760.700,935.452,1706.099,840.243,1784.063,843.271,-1.217647,-0.531732,-0.906711,1.608579,,,0.0270090463,0.0266523980,-22.0101875767,0.0020622583,-0.0246012467,18.3385648436,0.0011197270,0.0098663040,1.0000000000,,,,,,,,,
