frame,host_monotonic_ns,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_port_m_s,v_starboard_m_s,r_deg_s,r_rad_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method,calibration_debug_schema_version,frame_width_px,frame_height_px,ref_tag_size_m,visible_ref_ids,candidate_available,candidate_accepted,candidate_reject_reason,candidate_method,candidate_world_rms_m,candidate_pnp_baseline_error_m,pnp_baseline_tag_a,pnp_baseline_tag_b,pnp_baseline_measured_m,pnp_baseline_expected_m,accepted_calibration_samples,max_ref_world_error_m,max_ref_range_error_m,max_ref_pose_reproj_error_px,geometry_distortion_mode,camera_K_00,camera_K_01,camera_K_02,camera_K_10,camera_K_11,camera_K_12,camera_K_20,camera_K_21,camera_K_22,camera_dist_0,camera_dist_1,camera_dist_2,camera_dist_3,camera_dist_4,geometry_dist_0,geometry_dist_1,geometry_dist_2,geometry_dist_3,geometry_dist_4,ref_101_detected,ref_101_target_x_m,ref_101_target_y_m,ref_101_center_px_x,ref_101_center_px_y,ref_101_pnp_pose_valid,ref_101_pnp_reproj_rms_px,ref_101_pnp_center_px_x,ref_101_pnp_center_px_y,ref_101_corner0_px_x,ref_101_corner0_px_y,ref_101_corner1_px_x,ref_101_corner1_px_y,ref_101_corner2_px_x,ref_101_corner2_px_y,ref_101_corner3_px_x,ref_101_corner3_px_y,ref_101_cam_x_m,ref_101_cam_y_m,ref_101_cam_z_m,ref_101_range_m,ref_101_map_x_m,ref_101_map_y_m,ref_102_detected,ref_102_target_x_m,ref_102_target_y_m,ref_102_center_px_x,ref_102_center_px_y,ref_102_pnp_pose_valid,ref_102_pnp_reproj_rms_px,ref_102_pnp_center_px_x,ref_102_pnp_center_px_y,ref_102_corner0_px_x,ref_102_corner0_px_y,ref_102_corner1_px_x,ref_102_corner1_px_y,ref_102_corner2_px_x,ref_102_corner2_px_y,ref_102_corner3_px_x,ref_102_corner3_px_y,ref_102_cam_x_m,ref_102_cam_y_m,ref_102_cam_z_m,ref_102_range_m,ref_102_map_x_m,ref_102_map_y_m,candidate_H_00,candidate_H_01,candidate_H_02,candidate_H_10,candidate_H_11,candidate_H_12,candidate_H_20,candidate_H_21,candidate_H_22,active_map_H_00,active_map_H_01,active_map_H_02,active_map_H_10,active_map_H_11,active_map_H_12,active_map_H_20,active_map_H_21,active_map_H_22
0,34086090274445,0.2782,1785360855.441,2,,,,,,,,,,,,,,,,,,,0,acquiring:1/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011964,0.521214,101,102,4.781214,4.260000,1,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.955,750.900,1,0.695,72.259,751.963,65.330,791.354,8.447,780.290,79.443,716.482,132.000,724.000,-2.873546,0.625834,1.815047,3.455912,-0.001404,0.003130,1,4.260000,0.000000,1773.200,886.876,1,1.316,1772.227,886.838,1843.707,934.811,1760.908,935.763,1704.716,840.318,1784.064,843.665,1.889898,0.836493,1.461154,2.531088,4.262709,-0.000012,0.0115258279,0.0113605697,-9.3772895850,0.0009006780,-0.0113570184,8.4751297642,0.0001716759,0.0041199305,1.0000000000,,,,,,,,,
1,34086603721667,0.7916,1785360855.959,2,,,,,,,,,,,,,,,,,,,0,acquiring:2/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011591,0.499461,101,102,4.759461,4.260000,2,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.025,751.102,1,0.768,73.112,751.607,65.238,791.044,8.735,780.276,79.795,716.377,134.627,723.147,-2.845994,0.619317,1.799286,3.423546,-0.002086,0.001444,1,4.260000,0.000000,1773.363,886.856,1,1.505,1772.240,886.784,1843.414,934.544,1760.911,935.548,1704.802,840.183,1784.316,844.028,1.896709,0.839360,1.466396,2.540147,4.262984,-0.000111,0.0118052772,0.0119098065,-9.8163984639,0.0009281372,-0.0116743003,8.7069347655,0.0001546168,0.0042979532,1.0000000000,,,,,,,,,
2,34086806512531,0.9944,1785360856.105,2,,,,,,,,,,,,,,,,,,,0,acquiring:3/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011836,0.498248,101,102,4.758248,4.260000,3,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.120,750.888,1,0.872,72.924,751.769,65.461,791.417,8.678,780.222,79.594,716.631,133.976,723.187,-2.851706,0.620928,1.802534,3.430292,-0.002329,0.002535,1,4.260000,0.000000,1773.177,886.368,1,1.286,1772.281,886.508,1843.450,934.521,1760.661,935.413,1705.262,839.829,1784.136,843.423,1.889397,0.835398,1.460664,2.530069,4.262783,0.000331,0.0115243997,0.0115289089,-9.5092125147,0.0008999737,-0.0113584888,8.4736265476,0.0001560587,0.0041557517,1.0000000000,,,,,,,,,
3,34086964996746,1.1529,1785360856.279,2,,,,,,,,,,,,,,,,,,,0,acquiring:4/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011686,0.503601,101,102,4.763601,4.260000,4,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.086,750.861,1,0.862,72.995,751.629,65.312,791.196,8.750,779.964,79.706,716.518,134.198,723.217,-2.856268,0.621542,1.805554,3.435784,-0.002305,0.002211,1,4.260000,0.000000,1773.273,886.765,1,1.201,1772.397,886.773,1843.661,934.956,1760.777,935.504,1705.233,840.182,1784.335,843.620,1.889997,0.836191,1.460906,2.530919,4.262563,0.000021,0.0116587247,0.0117162397,-9.6589930604,0.0009145694,-0.0115086413,8.5837892792,0.0001579976,0.0042191270,1.0000000000,,,,,,,,,
4,34087134027743,1.3220,1785360856.409,2,,,,,,,,,,,,,,,,,,,0,acquiring:5/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011571,0.510770,101,102,4.770770,4.260000,5,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.348,750.571,1,0.898,73.121,751.496,65.477,791.204,8.629,779.642,79.976,716.353,134.361,723.164,-2.856155,0.621194,1.805726,3.435717,-0.002339,0.002688,1,4.260000,0.000000,1773.367,886.623,1,1.380,1772.381,886.714,1843.349,934.347,1760.786,935.598,1705.383,840.262,1784.384,843.734,1.897554,0.839404,1.466777,2.541013,4.262880,0.000218,0.0114840584,0.0115371520,-9.5114413473,0.0009042702,-0.0113728289,8.4808852308,0.0001484991,0.0041532867,1.0000000000,,,,,,,,,
5,34087249699402,1.4376,1785360856.547,2,,,,,,,,,,,,,,,,,,,0,acquiring:6/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.012026,0.504349,101,102,4.764349,4.260000,6,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.202,751.006,1,0.774,73.081,751.739,65.636,791.237,9.050,780.316,79.684,716.540,134.001,723.229,-2.853138,0.621253,1.803742,3.432177,-0.002116,0.002150,1,4.260000,0.000000,1773.558,886.712,1,1.428,1772.510,886.696,1843.432,934.539,1761.075,935.556,1705.385,840.050,1784.533,843.770,1.894142,0.837711,1.463895,2.536242,4.262920,-0.000072,0.0117166519,0.0115712976,-9.5566773880,0.0009163311,-0.0115504976,8.6164398657,0.0001583064,0.0042391971,1.0000000000,,,,,,,,,
6,34087405941943,1.5939,1785360856.720,2,,,,,,,,,,,,,,,,,,,0,acquiring:7/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011034,0.481399,101,102,4.741399,4.260000,7,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.215,750.658,1,1.349,73.674,751.200,65.463,791.171,8.775,779.539,79.797,716.261,136.449,722.318,-2.830455,0.615075,1.790538,3.405264,-0.003161,0.001485,1,4.260000,0.000000,1773.328,886.633,1,1.374,1772.331,886.673,1843.362,934.576,1760.596,935.433,1705.251,840.030,1784.511,843.771,1.894464,0.837992,1.464485,2.536916,4.262832,0.000074,0.0116063297,0.0118277151,-9.7416083044,0.0009155096,-0.0114898536,8.5641593772,0.0001325198,0.0042498149,1.0000000000,,,,,,,,,
7,34087571869027,1.7598,1785360856.853,2,,,,,,,,,,,,,,,,,,,0,acquiring:8/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011571,0.525192,101,102,4.785192,4.260000,8,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,72.958,750.820,1,0.946,72.909,751.617,65.382,791.266,8.802,779.494,79.380,716.530,134.085,723.499,-2.871719,0.624810,1.815155,3.454265,-0.002443,0.002295,1,4.260000,0.000000,1773.375,886.896,1,1.381,1772.350,886.845,1843.079,934.655,1760.779,935.641,1705.385,840.310,1784.498,843.855,1.895875,0.839021,1.465539,2.538918,4.262804,-0.000091,0.0113283433,0.0113233976,-9.3382710360,0.0008933695,-0.0112355506,8.3800412683,0.0001467031,0.0040791768,1.0000000000,,,,,,,,,
8,34087701210397,1.8891,1785360856.981,2,,,,,,,,,,,,,,,,,,,0,acquiring:9/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011486,0.511112,101,102,4.771112,4.260000,9,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.171,750.743,1,0.909,73.111,751.515,65.279,791.231,8.692,779.482,79.879,716.326,134.543,723.389,-2.861178,0.622341,1.808883,3.441759,-0.002360,0.002222,1,4.260000,0.000000,1773.292,886.495,1,1.369,1772.323,886.603,1843.378,934.542,1760.670,935.423,1705.300,839.883,1784.332,843.703,1.892537,0.836975,1.463012,2.534291,4.262883,0.000262,0.0115245713,0.0115961148,-9.5587566842,0.0009068647,-0.0114156797,8.5131052298,0.0001463878,0.0041778229,1.0000000000,,,,,,,,,
9,34087835710974,2.0236,1785360857.128,2,,,,,,,,,,,,,,,,,,,0,acquiring:10/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011876,0.519694,101,102,4.779694,4.260000,10,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.120,750.527,1,0.997,72.924,751.500,65.154,791.313,8.734,779.391,79.781,716.424,134.023,723.225,-2.863569,0.622688,1.810032,3.444414,-0.002558,0.002797,1,4.260000,0.000000,1773.468,886.628,1,1.494,1772.396,886.696,1843.352,934.413,1760.977,935.408,1705.313,840.025,1784.365,844.076,1.898903,0.839942,1.467793,2.542784,4.263068,0.000212,0.0115497379,0.0115729443,-9.5409549336,0.0009110223,-0.0114592870,8.5455088853,0.0001470498,0.0041876287,1.0000000000,,,,,,,,,
