frame,host_monotonic_ns,t_s,t_unix_s,n_ref,green_x_m,green_y_m,red_x_m,red_y_m,x_m,y_m,heading_deg,vx_m_s,vy_m_s,u_m_s,v_port_m_s,v_starboard_m_s,r_deg_s,r_rad_s,scale,ref_world_rms_m,ref_range_rms_m,color_spacing_m,motion_reset,homography_state,reference_method,calibration_debug_schema_version,frame_width_px,frame_height_px,ref_tag_size_m,visible_ref_ids,candidate_available,candidate_accepted,candidate_reject_reason,candidate_method,candidate_world_rms_m,candidate_pnp_baseline_error_m,pnp_baseline_tag_a,pnp_baseline_tag_b,pnp_baseline_measured_m,pnp_baseline_expected_m,accepted_calibration_samples,max_ref_world_error_m,max_ref_range_error_m,max_ref_pose_reproj_error_px,geometry_distortion_mode,camera_K_00,camera_K_01,camera_K_02,camera_K_10,camera_K_11,camera_K_12,camera_K_20,camera_K_21,camera_K_22,camera_dist_0,camera_dist_1,camera_dist_2,camera_dist_3,camera_dist_4,geometry_dist_0,geometry_dist_1,geometry_dist_2,geometry_dist_3,geometry_dist_4,ref_101_detected,ref_101_target_x_m,ref_101_target_y_m,ref_101_center_px_x,ref_101_center_px_y,ref_101_pnp_pose_valid,ref_101_pnp_reproj_rms_px,ref_101_pnp_center_px_x,ref_101_pnp_center_px_y,ref_101_corner0_px_x,ref_101_corner0_px_y,ref_101_corner1_px_x,ref_101_corner1_px_y,ref_101_corner2_px_x,ref_101_corner2_px_y,ref_101_corner3_px_x,ref_101_corner3_px_y,ref_101_cam_x_m,ref_101_cam_y_m,ref_101_cam_z_m,ref_101_range_m,ref_101_map_x_m,ref_101_map_y_m,ref_102_detected,ref_102_target_x_m,ref_102_target_y_m,ref_102_center_px_x,ref_102_center_px_y,ref_102_pnp_pose_valid,ref_102_pnp_reproj_rms_px,ref_102_pnp_center_px_x,ref_102_pnp_center_px_y,ref_102_corner0_px_x,ref_102_corner0_px_y,ref_102_corner1_px_x,ref_102_corner1_px_y,ref_102_corner2_px_x,ref_102_corner2_px_y,ref_102_corner3_px_x,ref_102_corner3_px_y,ref_102_cam_x_m,ref_102_cam_y_m,ref_102_cam_z_m,ref_102_range_m,ref_102_map_x_m,ref_102_map_y_m,candidate_H_00,candidate_H_01,candidate_H_02,candidate_H_10,candidate_H_11,candidate_H_12,candidate_H_20,candidate_H_21,candidate_H_22,active_map_H_00,active_map_H_01,active_map_H_02,active_map_H_10,active_map_H_11,active_map_H_12,active_map_H_20,active_map_H_21,active_map_H_22
0,34179066774506,0.2705,1785360948.371,2,,,,,,,,,,,,,,,,,,,0,acquiring:1/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.012609,0.472165,101,102,4.732165,4.260000,1,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.011,751.191,1,1.044,73.340,751.640,65.334,791.446,8.607,780.345,79.646,716.404,135.638,722.842,-2.828470,0.615754,1.788643,3.402740,-0.002484,0.001492,1,4.260000,0.000000,1772.991,886.248,1,1.233,1772.199,886.558,1843.880,934.512,1760.824,935.638,1705.004,839.959,1783.557,843.351,1.887128,0.834607,1.459066,2.527191,4.262784,0.000441,0.0116963007,0.0110551469,-9.1689183838,0.0009073145,-0.0114505448,8.5415671567,0.0001414546,0.0042442375,1.0000000000,,,,,,,,,
1,34179486233153,0.6900,1785360948.776,2,,,,,,,,,,,,,,,,,,,0,acquiring:2/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.010883,0.490666,101,102,4.750666,4.260000,2,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.153,751.231,1,0.791,73.222,751.781,65.544,791.501,8.643,780.286,79.748,716.326,134.901,723.419,-2.842426,0.619140,1.797242,3.419473,-0.002102,0.001540,1,4.260000,0.000000,1773.416,886.592,1,1.297,1772.474,886.632,1844.017,934.578,1760.773,935.528,1705.029,840.112,1784.554,843.477,1.891404,0.836381,1.461847,2.532575,4.262687,0.000137,0.0115084462,0.0116189549,-9.5790955041,0.0009008725,-0.0113578862,8.4728726006,0.0001489493,0.0041655622,1.0000000000,,,,,,,,,
2,34179626726146,0.8305,1785360948.894,2,,,,,,,,,,,,,,,,,,,0,acquiring:3/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.010987,0.476458,101,102,4.736458,4.260000,3,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.026,751.353,1,0.959,73.370,751.716,65.463,791.476,8.640,780.459,79.625,716.343,135.633,723.051,-2.829395,0.616204,1.789286,3.403928,-0.002354,0.001003,1,4.260000,0.000000,1773.447,886.645,1,1.261,1772.543,886.713,1843.890,934.772,1760.891,935.557,1705.323,840.103,1784.500,843.587,1.890556,0.836129,1.461059,2.531404,4.262669,0.000153,0.0114924349,0.0115818224,-9.5510451110,0.0008997551,-0.0113337756,8.4541226344,0.0001397086,0.0041752711,1.0000000000,,,,,,,,,
3,34179734519476,0.9383,1785360949.004,2,,,,,,,,,,,,,,,,,,,0,acquiring:4/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.010991,0.494568,101,102,4.754568,4.260000,4,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.040,751.242,1,0.844,73.128,751.816,65.563,791.487,8.543,780.358,79.497,716.490,134.850,723.339,-2.843867,0.619498,1.797971,3.421119,-0.002215,0.001641,1,4.260000,0.000000,1773.325,886.372,1,1.118,1772.604,886.669,1844.168,934.544,1760.678,935.538,1705.610,840.327,1784.381,843.388,1.893915,0.837439,1.463539,2.535776,4.262530,0.000652,0.0114123665,0.0114533542,-9.4468977981,0.0008935696,-0.0112695696,8.4076433278,0.0001464665,0.0041218757,1.0000000000,,,,,,,,,
4,34179845812393,1.0495,1785360949.105,2,,,,,,,,,,,,,,,,,,,0,acquiring:5/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.010958,0.486094,101,102,4.746094,4.260000,5,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.019,751.167,1,1.005,73.217,751.745,65.528,791.487,8.568,780.275,79.444,716.579,135.229,723.072,-2.840050,0.618510,1.795729,3.416590,-0.002540,0.001612,1,4.260000,0.000000,1773.207,886.377,1,1.121,1772.441,886.554,1844.051,934.589,1760.662,935.478,1705.249,840.128,1784.243,843.183,1.889205,0.835252,1.460209,2.529615,4.262488,0.000351,0.0117362879,0.0118652537,-9.7804891284,0.0009176639,-0.0115763693,8.6355930197,0.0001483001,0.0042782832,1.0000000000,,,,,,,,,
5,34179951538513,1.1553,1785360949.214,2,,,,,,,,,,,,,,,,,,,0,acquiring:6/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.010860,0.465854,101,102,4.725854,4.260000,6,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.129,751.099,1,1.211,73.578,751.539,65.530,791.453,8.555,780.386,79.659,716.424,136.361,722.420,-2.816517,0.613003,1.781537,3.388572,-0.002880,0.001152,1,4.260000,0.000000,1773.371,886.473,1,1.222,1772.524,886.640,1844.075,934.610,1760.650,935.424,1705.306,840.131,1784.527,843.547,1.893270,0.837172,1.463194,2.535008,4.262637,0.000403,0.0116250360,0.0119558598,-9.8422674818,0.0009119069,-0.0114740401,8.5562929383,0.0001378726,0.0042519601,1.0000000000,,,,,,,,,
6,34180060871642,1.2646,1785360949.355,2,,,,,,,,,,,,,,,,,,,0,acquiring:7/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.011170,0.492727,101,102,4.752727,4.260000,7,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.257,750.961,1,0.774,73.126,751.704,65.652,791.445,8.519,780.236,79.770,716.287,134.531,723.253,-2.842447,0.618847,1.797069,3.419347,-0.002085,0.002139,1,4.260000,0.000000,1773.374,886.512,1,1.241,1772.507,886.662,1843.874,934.640,1760.622,935.425,1705.400,840.109,1784.559,843.608,1.893515,0.837352,1.463416,2.535379,4.262680,0.000349,0.0114065514,0.0114156308,-9.4168598374,0.0008933575,-0.0112568061,8.3967562049,0.0001464485,0.0041179987,1.0000000000,,,,,,,,,
7,34180221678559,1.4254,1785360949.515,2,,,,,,,,,,,,,,,,,,,0,acquiring:8/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.042276,0.491775,101,102,4.751775,4.260000,8,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.147,751.209,1,0.720,73.109,751.816,65.615,791.432,8.575,780.470,79.667,716.385,134.553,723.383,-2.842848,0.619265,1.797291,3.419872,-0.001129,0.002911,1,4.260000,0.000000,1773.357,886.414,1,1.307,1772.449,886.581,1843.760,934.501,1760.600,935.465,1705.339,839.957,1784.509,843.537,1.892130,0.836604,1.462457,2.533543,4.262321,-0.001778,0.0262833297,0.0180141751,-15.4648051479,0.0017504360,-0.0223450564,16.6831774651,0.0005520333,0.0102372030,1.0000000000,,,,,,,,,
8,34180364154768,1.5679,1785360949.628,2,,,,,,,,,,,,,,,,,,,0,acquiring:9/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.010961,0.465535,101,102,4.725535,4.260000,9,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.244,751.073,1,1.145,73.640,751.527,65.660,791.497,8.596,780.323,79.772,716.279,136.341,722.526,-2.816754,0.613059,1.781806,3.388919,-0.002776,0.001118,1,4.260000,0.000000,1773.307,886.231,1,1.170,1772.538,886.506,1844.204,934.373,1760.703,935.422,1705.384,840.110,1784.316,843.265,1.892695,0.836569,1.462723,2.534107,4.262582,0.000679,0.0116667583,0.0121888477,-10.0209766560,0.0009156127,-0.0115265542,8.5949531452,0.0001357503,0.0042834220,1.0000000000,,,,,,,,,
9,34180474574856,1.6783,1785360949.749,2,,,,,,,,,,,,,,,,,,,0,acquiring:10/30,none,2,1920,1200,0.200000,101;102,1,1,,2-tag corner homography,0.010850,0.493674,101,102,4.753674,4.260000,10,0.050000,0.600000,5.000000,raw-zero-distortion,590.9628888758,0.0000000000,1007.8592059077,0.0000000000,592.3761043005,547.7101609771,0.0000000000,0.0000000000,1.0000000000,-0.0359937509,0.0291287486,0.0062609452,0.0003552766,-0.0208418310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1,0.000000,0.000000,73.026,751.108,1,0.995,73.211,751.692,65.418,791.482,8.463,779.999,79.554,716.465,135.292,723.245,-2.844654,0.619348,1.798629,3.422092,-0.002494,0.001651,1,4.260000,0.000000,1773.315,886.370,1,1.242,1772.461,886.554,1843.904,934.440,1760.649,935.474,1705.313,840.061,1784.405,843.379,1.892141,0.836529,1.462441,2.533518,4.262681,0.000409,0.0114892871,0.0115973482,-9.5602073785,0.0009008664,-0.0113598319,8.4735115287,0.0001421052,0.0041702744,1.0000000000,,,,,,,,,
